#{"t_start": 1780852170.4811265, "env_id": "highway-fast-v0"}
r,l,t
9.886888,15,339.703958
3.250269,5,339.924547
21.018675,30,341.177208
7.712496,10,341.605689
12.685502,16,342.295924
23.164497,30,343.566846
8.852932,13,344.152297
17.320221,26,345.265736
23.566101,30,346.537623
11.768041,15,347.183876
21.799063,30,348.445349
20.685956,30,349.725508
6.932711,10,350.17359
2.846334,4,350.358744
16.677338,21,351.264753
22.250481,30,352.525431
2.76405,4,352.705836
23.217043,30,353.993535
9.110189,12,354.505672
21.752622,30,355.795797
12.598845,18,356.571034
22.41987,30,357.826277
22.065575,30,359.115606
12.582111,18,361.224495
22.386888,30,362.477208
3.92017,6,362.743849
15.597385,23,363.707321
20.786888,30,364.944584
22.686888,30,366.235169
11.215821,17,366.94607
10.549368,15,367.584335
22.519868,30,368.855733
21.450496,30,370.129834
4.646796,6,370.395893
13.645078,18,371.166005
17.182792,22,372.094432
21.619289,30,373.348607
22.752931,30,374.616077
2.566667,4,374.794727
21.269329,30,376.080958
21.752358,30,377.369895
20.920221,30,378.673645
16.717294,24,379.767498
23.352931,30,381.094706
20.55325,30,382.408067
20.933334,30,383.664415
10.569323,15,384.325518
11.019598,17,385.075599
19.832711,29,386.295408
5.28435,7,386.601308
21.832963,30,387.885797
4.363771,6,388.154398
14.316083,20,389.015878
17.053247,26,390.125208
14.280175,21,391.0146
22.419598,30,392.275736
9.486319,13,392.825792
2.953508,5,393.048663
2.565379,4,393.224713
23.185335,30,394.493814
20.952932,30,395.750657
8.669024,12,396.271631
10.947255,15,396.905582
5.296872,7,397.224498
20.62021,30,398.475765
7.52022,12,398.985832
8.45236,13,399.536822
11.320221,16,400.225356
23.047255,30,401.509626
23.220215,30,402.783827
22.486577,30,404.066855
13.985951,21,404.954603
23.019609,30,406.213989
22.216941,30,407.475812
2.953508,5,407.704489
13.900046,19,408.501495
20.402663,30,409.765481
19.46518,26,410.864373
10.832866,15,411.497783
22.001155,30,412.787675
3.012696,4,412.963449
10.686848,15,413.596544
22.286888,30,414.851425
12.668705,17,415.555753
22.451767,30,416.815534
21.485993,30,418.065865
22.018073,30,419.318344
1.946796,3,419.459648
20.502306,30,420.718753
22.152929,30,422.005563
8.520221,13,422.563782
21.665477,30,423.816247
20.385996,30,425.05986
1.279667,2,425.154614
14.66602,21,426.036628
21.118706,30,427.274312
21.252886,30,428.515645
20.984758,30,429.765577
19.916126,29,431.024314
5.718309,7,431.338446
21.733684,30,432.594609
8.386538,12,433.123739
21.418406,30,434.365319
3.719247,6,434.633657
20.133684,29,435.86476
9.617461,14,436.490774
21.866092,30,437.769876
17.865146,24,438.793899
22.219329,30,440.044662
21.386839,30,441.285816
7.198834,10,441.714837
17.417017,26,442.84944
3.685993,6,443.114516
9.952931,14,443.714639
5.766394,9,444.115459
25.565497,30,445.39561
16.079785,22,446.331744
5.632711,8,446.686776
21.917561,30,447.959582
6.451242,9,449.698757
20.353555,30,450.973835
2.75324,5,451.195272
22.019825,30,452.457032
3.747802,5,452.675442
22.552586,30,453.921773
22.386842,30,455.205587
23.418618,30,456.494075
21.985691,30,457.759245
20.71903,30,459.016179
23.086537,30,460.327326
20.95004,30,461.63136
10.553555,16,462.355915
21.501464,30,463.615338
21.453542,30,464.92404
21.01899,30,466.243734
20.985692,30,467.537841
11.06405,16,468.225847
13.884967,21,469.105353
18.167308,26,470.200731
8.720221,14,470.823124
2.853508,5,471.054917
20.88569,30,472.360304
14.153555,20,473.190793
20.652663,30,474.439286
10.353247,15,475.087731
4.551241,7,475.386752
21.419023,30,476.628566
22.686888,30,477.925547
21.753244,30,479.218235
9.285339,13,479.783599
22.486886,30,481.063565
22.953554,30,482.345893
22.186888,30,483.645643
21.519609,30,484.915906
23.086888,30,486.19692
22.953508,30,487.494472
21.253555,30,488.787292
20.986545,30,490.069974
20.286888,30,491.342793
22.119327,30,492.658383
21.718221,30,493.953519
21.919278,30,495.225542
19.516645,27,496.407534
21.953555,30,497.937362
21.8532,30,499.345459
21.453555,30,500.672025
21.019674,30,502.037899
22.082484,30,503.354943
21.985956,30,504.645481
21.786579,30,506.07436
20.920215,30,507.445422
22.75126,30,508.796642
4.517285,7,509.120048
21.686848,30,510.469334
23.05351,30,511.815913
4.845989,6,512.09058
13.284069,17,512.854342
9.766085,14,513.480228
22.702356,30,514.787573
20.253554,30,516.111436
7.800046,11,516.600778
10.650043,16,517.299923
21.852887,30,518.635713
21.763159,30,519.985861
22.185957,30,521.247039
21.35293,30,522.557163
5.919916,9,523.017145
22.12022,30,524.417386
17.119874,24,525.484325
22.253511,30,526.814523
15.246841,21,527.759401
22.419598,30,529.064956
16.66933,25,530.165007
1.715775,3,530.313739
20.986233,30,531.615904
16.447652,23,532.605487
20.886844,30,533.881477
21.386888,30,535.180042
20.484838,30,536.435775
1.931021,3,536.584533
18.984271,27,537.729064
21.120215,30,540.328684
9.985986,15,541.034554
1.915775,3,541.175308
21.386883,30,542.454844
22.719953,30,543.755602
21.919329,30,544.995875
20.48662,30,546.254836
21.82018,30,547.497951
21.786888,30,548.754438
16.020221,24,549.77441
5.935103,9,550.164652
21.986888,30,551.405499
16.185993,24,552.405181
2.465465,4,552.575596
3.45351,6,552.843553
21.652327,30,554.092181
18.849459,27,555.222442
22.286545,30,556.509296
21.219913,30,557.781344
22.386888,30,559.044472
21.853555,30,560.347057
21.752661,30,561.648355
21.253516,30,562.916256
22.686543,30,564.195395
22.086888,30,565.456202
20.886843,30,566.734712
21.653554,30,568.005429
20.685994,30,569.274721
2.978741,4,569.455612
22.418825,30,570.735308
17.682444,26,571.825281
4.253164,6,572.095898
21.146497,30,573.345454
3.630399,5,573.573629
20.153555,30,574.826513
22.953555,30,576.115026
20.620221,30,577.404684
13.835996,19,578.229269
20.566713,30,579.515325
22.22022,30,580.804558
22.15325,30,582.064284
20.453555,30,583.335619
22.352661,30,584.585737
21.65235,30,585.846535
19.519331,29,587.058652
20.719054,30,588.30481
20.300351,30,589.576973
21.953554,30,590.855653
22.400351,30,592.125237
21.752932,30,593.427161
20.650938,30,594.708705
20.653516,30,595.964497
20.753252,30,597.235376
20.053555,30,598.51546
22.419329,30,599.784738
21.219604,30,601.055666
22.053243,30,602.335528
20.400351,30,603.614679
22.120221,30,604.898982
22.286888,30,606.189051
21.318705,30,607.425623
16.720221,24,608.424722
13.663239,20,609.265735
8.286844,13,609.815665
21.385118,30,611.093977
8.533638,12,611.598633
22.652352,30,612.83519
21.153555,30,614.113746
20.386888,30,615.375933
20.301507,30,616.68194
20.58662,30,617.93444
12.020215,16,618.599777
20.353555,30,619.827047
18.652931,26,620.955726
5.735367,8,621.295177
22.420176,30,622.556528
21.886888,30,623.818676
4.253246,7,624.118117
21.917864,30,625.365486
20.420221,30,626.625645
21.785951,30,629.245167
21.953555,30,630.534745
18.486888,26,631.645223
10.486264,16,632.334346
22.019327,30,633.576121
2.666667,4,633.751657
22.286888,30,635.01451
22.31929,30,636.263866
21.419021,30,637.524581
21.720221,30,638.769234
22.253548,30,640.011456
21.352661,30,641.265486
22.153555,30,642.718664
13.653251,19,643.545591
22.153555,30,644.865354
1.683601,3,645.004426
20.786887,30,646.293014
20.219913,30,647.566046
22.252661,30,648.896054
21.800345,30,650.220992
20.320221,30,651.551925
21.820177,30,652.880399
21.820219,30,654.136816
20.786882,30,655.437577
23.551904,30,656.737896
3.285647,5,656.965311
21.38658,30,658.245312
12.469318,18,659.035398
22.135996,30,660.315689
20.520216,30,661.590402
18.620221,26,662.685825
22.085954,30,663.965966
20.920216,30,665.241548
20.320178,30,666.505412
11.685691,17,667.24904
22.553555,30,668.53368
20.420176,30,669.794307
21.100349,30,671.070841
22.120221,30,672.353657
22.083925,30,673.626701
21.785952,30,674.929373
20.519598,30,676.294488
21.920221,30,677.654695
20.286264,28,678.958902
22.26933,30,680.258631
22.120216,30,681.548993
21.48658,30,682.873606
11.867017,18,683.660775
1.846796,3,683.800872
20.286848,30,685.091971
22.402663,30,686.375572
18.786888,26,687.465688
22.353247,30,688.708621
22.020221,30,689.945969
21.119598,30,691.219908
20.700351,30,692.495425
20.986577,30,693.794321
20.983952,30,695.065167
22.020221,30,696.338415
20.586888,30,697.64937
23.253094,30,698.986037
20.420221,30,700.285757
12.653555,19,701.094581
22.186842,30,702.354309
20.553509,30,703.634758
20.533684,30,704.935712
20.053555,30,706.241882
2.531021,4,706.425488
22.286264,30,707.852962
20.420221,30,709.196736
20.420215,30,710.482772
6.452931,10,710.916006
21.919598,30,712.199188
22.020221,30,713.471419
3.986842,6,713.745326
21.686846,30,715.03549
4.820216,8,715.385526
22.086276,30,716.667268
21.352617,30,719.313711
20.652942,30,720.595541
21.720183,30,721.864447
18.420221,26,722.956446
22.286888,30,724.223816
21.352661,30,725.485695
20.619327,30,726.737476
20.453549,30,727.97539
21.120221,30,729.21553
21.386888,30,730.445686
22.053554,30,731.688468
20.519607,30,732.934352
21.186848,30,734.183826
21.719327,30,735.414345
22.020221,30,736.694911
22.219326,30,738.006578
21.368701,30,739.255703
20.086888,30,740.534603
22.085366,30,741.83611
20.935996,30,743.115304
22.020221,30,744.357193
20.020221,30,745.580601
22.253514,30,746.837216
9.053554,14,747.424462
21.586882,30,748.658391
23.519913,30,749.90909
5.102663,8,750.255571
20.953555,30,751.50206
20.686888,30,752.737611
20.786888,30,754.018556
20.520221,30,755.295558
22.385996,30,756.564391
20.352042,30,757.84586
4.986887,8,758.201982
23.186882,30,759.485651
20.12022,30,760.753479
20.786888,30,762.016971
22.020214,30,763.280025
20.020221,30,764.555628
21.935996,30,765.804521
22.286543,30,767.056768
22.020221,30,768.304312
20.520221,30,769.609576
22.26933,30,770.876396
21.620221,30,772.301518
21.386888,30,773.569737
21.419587,30,774.854725
22.519032,30,776.134429
20.920221,30,777.395267
21.185104,30,778.666355
21.852661,30,779.928872
21.82022,30,781.185719
22.284719,30,782.428039
20.385732,30,783.667375
22.120219,30,784.903816
20.886886,30,786.135737
20.553554,30,787.379379
22.153246,30,788.704482
22.153549,30,789.954375
21.819554,30,791.211041
20.153555,30,792.50588
6.686888,10,792.935534
20.920221,30,794.204311
11.985983,17,794.931971
22.420221,30,796.187589
21.853554,30,797.486672
11.018406,16,798.187108
21.553554,30,799.444608
13.386888,21,800.34451
23.185593,30,801.625951
22.66933,30,802.905669
20.853554,30,804.138911
17.799068,26,806.676716
22.286883,30,807.97567
21.320215,30,809.254665
17.653555,27,810.500234
21.586888,30,811.764344
21.753508,30,813.043931
21.386888,30,814.307295
22.553549,30,815.596057
20.653554,30,816.868419
21.820221,30,818.139013
21.752663,30,819.407112
22.252661,30,820.685141
20.120221,30,821.965888
23.353555,30,823.281863
21.920178,30,824.624485
20.486888,30,825.944375
22.020221,30,827.374486
21.353549,30,828.821449
13.652887,21,829.793908
20.553555,30,831.137401
20.020221,30,832.456237
20.42022,30,833.751407
22.153555,30,835.063552
21.386888,30,836.345552
21.986275,30,837.635703
21.920215,30,838.886387
15.669328,24,839.920555
20.486264,30,841.205513
21.985988,30,842.474531
21.92022,30,843.745823
20.286883,30,845.024861
13.415513,19,845.814491
21.952931,30,847.093598
20.420221,30,848.375638
20.020221,30,849.64442
21.620215,30,850.915646
20.020221,30,852.176903
20.618999,30,853.574373
20.299741,30,854.895257
20.585372,30,856.165545
21.886882,30,857.461442
11.002028,14,858.06152
20.553555,30,859.335616
22.020221,30,860.598853
20.453287,30,861.905526
22.286888,30,863.196682
21.753247,30,864.488162
4.186887,7,864.803715
20.486264,30,866.095414
21.78599,30,867.345555
20.553555,30,868.599831
22.020221,30,869.887399
22.55321,30,871.185992
21.053554,30,872.456769
22.420216,30,873.729081
20.153555,30,875.016617
16.453555,23,876.023993
16.020221,22,877.001328
8.953555,14,877.598103
22.020215,30,878.875563
21.820178,30,880.146054
20.686888,30,881.415344
20.950848,30,882.704679
21.653554,30,884.019536
20.153549,30,885.328777
22.020221,30,886.618946
20.986888,30,887.909663
22.052594,30,889.210119
9.330671,13,889.774412
21.620183,30,891.062989
12.400351,19,891.874711
21.72022,30,893.135765
11.652042,17,893.87494
